Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Fraction to Recurring Decimal,60.9,0.262235384,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
MEDIUM,Vowels of All Substrings,60.9,0.547036393,https://leetcode.com/problems/vowels-of-all-substrings,"Math, String, Dynamic Programming, Combinatorics"
MEDIUM,Meeting Rooms II,60.9,0.521417391,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Reverse Words in a String II,60.9,0.560650678,https://leetcode.com/problems/reverse-words-in-a-string-ii,"Two Pointers, String"
MEDIUM,Maximum Subarray,60.9,0.520998049,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Largest Number,60.9,0.412803812,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Valid Parenthesis String,60.9,0.389092126,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy"
MEDIUM,House Robber,50.3,0.523049817,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,50.3,0.638575638,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Number of Distinct Islands,50.3,0.6225552,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
EASY,Palindrome Linked List,50.3,0.55859452,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,4Sum,50.3,0.382190882,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Basic Calculator II,50.3,0.458113869,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Combination Sum,50.3,0.746747163,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Time Needed to Rearrange a Binary String,50.3,0.515595691,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
MEDIUM,Subarray Sum Equals K,50.3,0.454762014,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Next Permutation,50.3,0.430577533,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Gas Station,50.3,0.463836208,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Jump Game,50.3,0.39479234,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Find Peak Element,50.3,0.465092198,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Target Sum,50.3,0.507665948,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking"
MEDIUM,Single Element in a Sorted Array,50.3,0.59206997,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
HARD,Sliding Window Maximum,50.3,0.476041545,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Binary Tree Zigzag Level Order Traversal,50.3,0.616828705,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Amount of Time for Binary Tree to Be Infected,50.3,0.637351552,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Coin Change,50.3,0.464954856,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Valid Palindrome,50.3,0.509635287,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
HARD,Word Break II,50.3,0.53645463,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Merge Sorted Array,50.3,0.529195306,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find Minimum in Rotated Sorted Array,50.3,0.526482585,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Implement Trie (Prefix Tree),50.3,0.679347607,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Permutations,50.3,0.806601245,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Find First and Last Position of Element in Sorted Array,50.3,0.468287963,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,3Sum,50.3,0.370709601,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,"Pow(x, n)",50.3,0.370232017,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Search Suggestions System,50.3,0.650501647,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Partition Equal Subset Sum,50.3,0.484438371,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
HARD,Minimum Number of Taps to Open to Water a Garden,50.3,0.50716999,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Populating Next Right Pointers in Each Node,50.3,0.654414964,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Rotting Oranges,50.3,0.566184184,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Rotate Array,50.3,0.430213881,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Minimum One Bit Operations to Make Integers Zero,50.3,0.732407107,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
MEDIUM,Check if a Parentheses String Can Be Valid,50.3,0.448585936,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,"String, Stack, Greedy"
